Disease name,Common Symptoms,Less Common Symptoms,Age,Biological Gender,Website,Diagnosis Criteria
HOD,"Balance/Gait Unsteadiness, Nystagmus, Double Vision, Fatigue, Myoclonus, Palatal Tremor, Ataxia/Poor, Coordination, Headache, Numbness, Pins and Needles feelings that don’t resolve quickly","Spasticity, Difficulty Swallowing, Slurred Speech, Tinnitus, Tremors",-,-,https://hodassoc.org/,-
FoxP1,"Delays in early motor and language milestones, Mild-to-severe intellectual deficits, Speech and language impairment in all individuals regardless of cognitive ability, behaviour abnormalities, autism spectrum disorder or autistic features, attention-deficit/hyperactivity disorder, anxiety, repetitive behaviors, sleep disturbances, and sensory symptoms","Oromotor dysfunction (contributing to speech and feeding difficulties),
Refractive errors,
Strabismus,
Cardiac abnormalities,
Renal abnormalities, 
Cryptorchidism, 
Hypertonia,
Hearing loss, and
Epilepsy",-,-,-,No
USP7,"Dysmorphic Facial, Abnormal MRI, Hypotonia, Eye Anomalies (esotropia, myopia, strabismus, nystagmus), Feeding Problems (including need for special feeding technique), GERD, Seizures, Neonatal Hypotonia, Hypogonadism, Asthma, Abnormal Gait, Difficulty Gaining Weight
- Sleep Apnea/Sleep Disturbance, Chronic Constipation, Short Stature, Scoliosis or Kyphosis, Neonatal Poor Suck, Contractures, Small Hands, Small Feet, Excessive Weight Gain, Chronic Diarrhea, Decreased Fetal Movement, Hip Dysplasia, Hearing Difficulties, Speech Delay (some nonverbal), Developmental Delay/Intellectual Disability, Behavioral Anomalies (aggressive behavior, temper tantrums, impulsivity, compulsivity, stubbornness, manipulative behavior), Autism Spectrum Disorder, ADHD, Skin Picking",-,-,-,-,-
CMT4J,"progressive muscle weakness, muscle atrophy, sensory loss, joint deformities and instability, difficulty with motor skills, respiratory compromise, Increased Susceptibility to Respiratory Infections",-,-,-,-,-
Alport Syndrome,"Proteinuria, hypertension, hearing loss, vision problems, hematuria (blood in the urine)",-,-,-,-,-
Dup15q,"hypotonia and motor delays, intellectual disability, autism spectrum disorder (ASD), epilepsy including infantile spasms, subtle facial features (e.g., flat nasal bridge, epicanthic folds), hearing loss from ear infections, vision problems like strabismus, gastrointestinal issues, sensory processing disorders, attention deficit disorders, and anxiety disorders",,-,-,-,-
ADCY5,-,-,-,-,https://www.adcy5.org/get-involved,-
22q11.2,-,-,-,-,-,-
ABL+,-,-,-,-,-,-
ALD,-,-,-,-,-,-
ALS,-,-,-,-,-,-
Behcet's Disease,"Balance/Gait Unsteadiness, Nystagmus, Double Vision, Fatigue, Myoclonus, Palatal Tremor, Ataxia/Poor, Coordination, Headache, Numbness, Pins and Needles feelings that don’t resolve quickly",-,-,-,https://www.behcets.com,-
Infantile Neuroaxonal Dystrophy,-,-,-,-,https://inadcure.org,-
